query_mbid,metric,rating
ebf79ba5-085e-48d2-9eb8-2d992fbf0f6d,mfccsw,2
ebf79ba5-085e-48d2-9eb8-2d992fbf0f6d,moods,0
ebf79ba5-085e-48d2-9eb8-2d992fbf0f6d,instruments,0
ebf79ba5-085e-48d2-9eb8-2d992fbf0f6d,dortmund,1
ebf79ba5-085e-48d2-9eb8-2d992fbf0f6d,rosamerica,0
8d5f76cf-0fa1-45a1-8464-68053d03b46b,bpm,0
8d5f76cf-0fa1-45a1-8464-68053d03b46b,bpm_onsetrate,2
8d5f76cf-0fa1-45a1-8464-68053d03b46b,bpm_onsetrate_key,2
8d5f76cf-0fa1-45a1-8464-68053d03b46b,gfccsw,2
8d5f76cf-0fa1-45a1-8464-68053d03b46b,gfccs,0
8d5f76cf-0fa1-45a1-8464-68053d03b46b,mfccsw,1
8d5f76cf-0fa1-45a1-8464-68053d03b46b,mfccs,1
8d5f76cf-0fa1-45a1-8464-68053d03b46b,moods,1
8d5f76cf-0fa1-45a1-8464-68053d03b46b,instruments,1
8d5f76cf-0fa1-45a1-8464-68053d03b46b,dortmund,2
8d5f76cf-0fa1-45a1-8464-68053d03b46b,rosamerica,2
919a494b-dccc-4801-8aff-779ba574afae,bpm,1
919a494b-dccc-4801-8aff-779ba574afae,bpm_onsetrate,0
919a494b-dccc-4801-8aff-779ba574afae,bpm_onsetrate_key,2
919a494b-dccc-4801-8aff-779ba574afae,bpm,1
919a494b-dccc-4801-8aff-779ba574afae,bpm_onsetrate,2
919a494b-dccc-4801-8aff-779ba574afae,bpm_onsetrate_key,2
47974dfd-f37d-4f41-b952-18a86af009d2,bpm,2
47974dfd-f37d-4f41-b952-18a86af009d2,bpm_onsetrate,1
47974dfd-f37d-4f41-b952-18a86af009d2,bpm_onsetrate_key,1
47974dfd-f37d-4f41-b952-18a86af009d2,mfccs,0
47974dfd-f37d-4f41-b952-18a86af009d2,mfccs,0
47974dfd-f37d-4f41-b952-18a86af009d2,mfccsw,0
47974dfd-f37d-4f41-b952-18a86af009d2,gfccs,1
47974dfd-f37d-4f41-b952-18a86af009d2,gfccs,1
47974dfd-f37d-4f41-b952-18a86af009d2,gfccsw,1
0cdc9b5b-b16b-4ff1-9f16-5b4ba76f1c17,bpm_onsetrate,1
0cdc9b5b-b16b-4ff1-9f16-5b4ba76f1c17,bpm_onsetrate_key,2
0cdc9b5b-b16b-4ff1-9f16-5b4ba76f1c17,bpm,1
0cdc9b5b-b16b-4ff1-9f16-5b4ba76f1c17,mfccs,2
0cdc9b5b-b16b-4ff1-9f16-5b4ba76f1c17,mfccs,2
0cdc9b5b-b16b-4ff1-9f16-5b4ba76f1c17,mfccsw,2
0cdc9b5b-b16b-4ff1-9f16-5b4ba76f1c17,gfccs,1
0cdc9b5b-b16b-4ff1-9f16-5b4ba76f1c17,gfccs,1
0cdc9b5b-b16b-4ff1-9f16-5b4ba76f1c17,gfccsw,1
47974dfd-f37d-4f41-b952-18a86af009d2,moods,0
47974dfd-f37d-4f41-b952-18a86af009d2,instruments,1
47974dfd-f37d-4f41-b952-18a86af009d2,dortmund,1
47974dfd-f37d-4f41-b952-18a86af009d2,rosamerica,1
0cdc9b5b-b16b-4ff1-9f16-5b4ba76f1c17,moods,1
0cdc9b5b-b16b-4ff1-9f16-5b4ba76f1c17,instruments,1
0cdc9b5b-b16b-4ff1-9f16-5b4ba76f1c17,dortmund,0
0cdc9b5b-b16b-4ff1-9f16-5b4ba76f1c17,rosamerica,0
b7ffa922-7bb8-4703-aa51-3bcc6d9cc364,bpm,1
b7ffa922-7bb8-4703-aa51-3bcc6d9cc364,bpm_onsetrate,1
b7ffa922-7bb8-4703-aa51-3bcc6d9cc364,bpm_onsetrate_key,2
b7ffa922-7bb8-4703-aa51-3bcc6d9cc364,mfccs,2
b7ffa922-7bb8-4703-aa51-3bcc6d9cc364,mfccs,2
b7ffa922-7bb8-4703-aa51-3bcc6d9cc364,mfccs,2
b7ffa922-7bb8-4703-aa51-3bcc6d9cc364,mfccs,2
b7ffa922-7bb8-4703-aa51-3bcc6d9cc364,mfccsw,2
b7ffa922-7bb8-4703-aa51-3bcc6d9cc364,gfccs,2
b7ffa922-7bb8-4703-aa51-3bcc6d9cc364,gfccs,2
b7ffa922-7bb8-4703-aa51-3bcc6d9cc364,gfccs,2
b7ffa922-7bb8-4703-aa51-3bcc6d9cc364,gfccs,2
b7ffa922-7bb8-4703-aa51-3bcc6d9cc364,gfccsw,2
b7ffa922-7bb8-4703-aa51-3bcc6d9cc364,gfccsw,2
b7ffa922-7bb8-4703-aa51-3bcc6d9cc364,moods,1
b7ffa922-7bb8-4703-aa51-3bcc6d9cc364,instruments,0
b7ffa922-7bb8-4703-aa51-3bcc6d9cc364,dortmund,1
b7ffa922-7bb8-4703-aa51-3bcc6d9cc364,rosamerica,0
